Variable;Namespace;Identifier
I_100_Drill_On;ns=6;i=1019
I_100_RT_On;ns=6;i=1032
I_100_Drill_Down;ns=6;i=1045
I_100_Drill_Up;ns=6;i=1058
I_100_Drill_Pin;ns=6;i=1071
I_100_Test_Pin;ns=6;i=1084
I_101_Led_Start;ns=6;i=1097
I_101_Led_Reset;ns=6;i=1110
I_101_Led_Extra1;ns=6;i=1123
I_101_Led_Extra2;ns=6;i=1136
I_101_Panel_O4;ns=6;i=1149
I_101_Panel_O5;ns=6;i=1162
I_101_Panel_O6;ns=6;i=1175
I_101_Panel_O7;ns=6;i=1188
C_105_Initialization;ns=6;i=1204
C_105_Part_ready;ns=6;i=1214
C_105_Test_Ok;ns=6;i=1224
C_105_Test_Fail;ns=6;i=1234
C_102_Profibus;ns=6;i=1244
C_103_RQ_Turns;ns=6;i=1254
C_105_Start;ns=6;i=1264
C_105_Test;ns=6;i=1274
C_105_TestDrill;ns=6;i=1284
C_105_Rotation;ns=6;i=1294
F_102_Drill_On;ns=6;i=1310
F_102_RT_On;ns=6;i=1320
F_102_Drill_Down;ns=6;i=1330
F_102_Drill_Up;ns=6;i=1340
F_102_Drill_Pin;ns=6;i=1350
F_102_Test_Pin;ns=6;i=1360
F_103_Led_Start;ns=6;i=1370
F_103_Led_Reset;ns=6;i=1380
F_103_Led_Extra1;ns=6;i=1390
F_103_Led_Extra2;ns=6;i=1400
F_103_Panel_O4;ns=6;i=1410
F_103_Panel_O5;ns=6;i=1420
F_103_Panel_O6;ns=6;i=1430
F_103_Panel_O7;ns=6;i=1440
O_100_PInit_Pos;ns=6;i=1461
O_100_PDrill_Pos;ns=6;i=1474
O_100_PTest_Pos;ns=6;i=1489
O_100_SDrill_High;ns=6;i=1502
O_100_SDrill_Low;ns=6;i=1515
O_100_RT_Sensor;ns=6;i=1528
O_100_PTest_Ok;ns=6;i=1541
O_101_Start;ns=6;i=1554
O_101_Stop;ns=6;i=1567
O_101_Key_Pos;ns=6;i=1580
O_101_Reset;ns=6;i=1593
O_101_Panel_I4;ns=6;i=1606
O_101_Panel_I5;ns=6;i=1619
O_101_Panel_I6;ns=6;i=1632
O_101_Panel_I7;ns=6;i=1645
